Geography,Code,Date,Units,Metric,variable,value
United Kingdom,K02000001,2016,Thousands,Vehicles with 4 changes,Bus-n-coach,0.01
United Kingdom,K02000001,2017,Thousands,Vehicles with 4 changes,Bus-n-coach,0.03
United Kingdom,K02000001,2018,Thousands,Vehicles with 4 changes,Bus-n-coach,0.03
United Kingdom,K02000001,2019,Thousands,Vehicles with 4 changes,Bus-n-coach,0.04
United Kingdom,K02000001,2020,Thousands,Vehicles with 4 changes,Bus-n-coach,0.03
United Kingdom,K02000001,2021,Thousands,Vehicles with 4 changes,Bus-n-coach,0.04
United Kingdom,K02000001,2022,Thousands,Vehicles with 4 changes,Bus-n-coach,0.04
United Kingdom,K02000001,2010,Thousands,Vehicles with over 4 changes,Bus-n-coach,0.37
United Kingdom,K02000001,2011,Thousands,Vehicles with over 4 changes,Bus-n-coach,0.23
United Kingdom,K02000001,2012,Thousands,Vehicles with over 4 changes,Bus-n-coach,0.05
United Kingdom,K02000001,2013,Thousands,Vehicles with over 4 changes,Bus-n-coach,0.02
United Kingdom,K02000001,2014,Thousands,Vehicles with over 4 changes,Bus-n-coach,0.01
United Kingdom,K02000001,2015,Thousands,Vehicles with over 4 changes,Bus-n-coach,0.0
United Kingdom,K02000001,2016,Thousands,Vehicles with over 4 changes,Bus-n-coach,0.0
United Kingdom,K02000001,2017,Thousands,Vehicles with over 4 changes,Bus-n-coach,0.01
United Kingdom,K02000001,2018,Thousands,Vehicles with over 4 changes,Bus-n-coach,0.0
United Kingdom,K02000001,2019,Thousands,Vehicles with over 4 changes,Bus-n-coach,0.0
United Kingdom,K02000001,2020,Thousands,Vehicles with over 4 changes,Bus-n-coach,0.01
United Kingdom,K02000001,2021,Thousands,Vehicles with over 4 changes,Bus-n-coach,0.01
United Kingdom,K02000001,2022,Thousands,Vehicles with over 4 changes,Bus-n-coach,0.0
United Kingdom,K02000001,2010,Thousands,Total changes of keeper,Cars,7651.27
United Kingdom,K02000001,2011,Thousands,Total changes of keeper,Cars,7406.98
United Kingdom,K02000001,2012,Thousands,Total changes of keeper,Cars,7699.21
United Kingdom,K02000001,2013,Thousands,Total changes of keeper,Cars,7114.26
United Kingdom,K02000001,2014,Thousands,Total changes of keeper,Cars,6799.37
United Kingdom,K02000001,2015,Thousands,Total changes of keeper,Cars,7734.13
United Kingdom,K02000001,2016,Thousands,Total changes of keeper,Cars,7709.01
United Kingdom,K02000001,2017,Thousands,Total changes of keeper,Cars,7740.38
United Kingdom,K02000001,2018,Thousands,Total changes of keeper,Cars,7521.04
United Kingdom,K02000001,2019,Thousands,Total changes of keeper,Cars,7551.08
United Kingdom,K02000001,2020,Thousands,Total changes of keeper,Cars,6563.43
United Kingdom,K02000001,2021,Thousands,Total changes of keeper,Cars,7196.31
United Kingdom,K02000001,2022,Thousands,Total changes of keeper,Cars,6508.85
United Kingdom,K02000001,2010,Thousands,Vehicles with 0 changes,Cars,25175.24
United Kingdom,K02000001,2011,Thousands,Vehicles with 0 changes,Cars,27206.08
United Kingdom,K02000001,2012,Thousands,Vehicles with 0 changes,Cars,26369.93
United Kingdom,K02000001,2013,Thousands,Vehicles with 0 changes,Cars,26723.23
United Kingdom,K02000001,2014,Thousands,Vehicles with 0 changes,Cars,28682.99
United Kingdom,K02000001,2015,Thousands,Vehicles with 0 changes,Cars,30069.33
United Kingdom,K02000001,2016,Thousands,Vehicles with 0 changes,Cars,31275.52
United Kingdom,K02000001,2017,Thousands,Vehicles with 0 changes,Cars,32249.83
United Kingdom,K02000001,2018,Thousands,Vehicles with 0 changes,Cars,32930.71
United Kingdom,K02000001,2019,Thousands,Vehicles with 0 changes,Cars,33422.09
United Kingdom,K02000001,2020,Thousands,Vehicles with 0 changes,Cars,34231.41
United Kingdom,K02000001,2021,Thousands,Vehicles with 0 changes,Cars,34202.99
United Kingdom,K02000001,2022,Thousands,Vehicles with 0 changes,Cars,34777.05
United Kingdom,K02000001,2010,Thousands,Vehicles with 1 changes,Cars,5508.85
United Kingdom,K02000001,2011,Thousands,Vehicles with 1 changes,Cars,5503.02
United Kingdom,K02000001,2012,Thousands,Vehicles with 1 changes,Cars,5674.28
United Kingdom,K02000001,2013,Thousands,Vehicles with 1 changes,Cars,5505.43
United Kingdom,K02000001,2014,Thousands,Vehicles with 1 changes,Cars,5351.63
United Kingdom,K02000001,2015,Thousands,Vehicles with 1 changes,Cars,6026.56
United Kingdom,K02000001,2016,Thousands,Vehicles with 1 changes,Cars,6003.61
United Kingdom,K02000001,2017,Thousands,Vehicles with 1 changes,Cars,6030.96
United Kingdom,K02000001,2018,Thousands,Vehicles with 1 changes,Cars,5834.93
United Kingdom,K02000001,2019,Thousands,Vehicles with 1 changes,Cars,5821.17
United Kingdom,K02000001,2020,Thousands,Vehicles with 1 changes,Cars,4995.37
United Kingdom,K02000001,2021,Thousands,Vehicles with 1 changes,Cars,5425.93
United Kingdom,K02000001,2022,Thousands,Vehicles with 1 changes,Cars,4877.83
United Kingdom,K02000001,2010,Thousands,Vehicles with 2 changes,Cars,799.72
United Kingdom,K02000001,2011,Thousands,Vehicles with 2 changes,Cars,736.06
United Kingdom,K02000001,2012,Thousands,Vehicles with 2 changes,Cars,745.78
United Kingdom,K02000001,2013,Thousands,Vehicles with 2 changes,Cars,649.89
United Kingdom,K02000001,2014,Thousands,Vehicles with 2 changes,Cars,588.27
United Kingdom,K02000001,2015,Thousands,Vehicles with 2 changes,Cars,677.49
United Kingdom,K02000001,2016,Thousands,Vehicles with 2 changes,Cars,672.54
United Kingdom,K02000001,2017,Thousands,Vehicles with 2 changes,Cars,671.92
United Kingdom,K02000001,2018,Thousands,Vehicles with 2 changes,Cars,657.88
United Kingdom,K02000001,2019,Thousands,Vehicles with 2 changes,Cars,662.8
United Kingdom,K02000001,2020,Thousands,Vehicles with 2 changes,Cars,583.69
United Kingdom,K02000001,2021,Thousands,Vehicles with 2 changes,Cars,665.99
United Kingdom,K02000001,2022,Thousands,Vehicles with 2 changes,Cars,607.85
United Kingdom,K02000001,2010,Thousands,Vehicles with 3 changes,Cars,124.55
United Kingdom,K02000001,2011,Thousands,Vehicles with 3 changes,Cars,102.96
United Kingdom,K02000001,2012,Thousands,Vehicles with 3 changes,Cars,113.36
United Kingdom,K02000001,2013,Thousands,Vehicles with 3 changes,Cars,82.82
United Kingdom,K02000001,2014,Thousands,Vehicles with 3 changes,Cars,73.19
United Kingdom,K02000001,2015,Thousands,Vehicles with 3 changes,Cars,93.04
United Kingdom,K02000001,2016,Thousands,Vehicles with 3 changes,Cars,94.41
United Kingdom,K02000001,2017,Thousands,Vehicles with 3 changes,Cars,94.74
United Kingdom,K02000001,2018,Thousands,Vehicles with 3 changes,Cars,94.18
United Kingdom,K02000001,2019,Thousands,Vehicles with 3 changes,Cars,100.4
United Kingdom,K02000001,2020,Thousands,Vehicles with 3 changes,Cars,96.98
United Kingdom,K02000001,2021,Thousands,Vehicles with 3 changes,Cars,105.67
United Kingdom,K02000001,2022,Thousands,Vehicles with 3 changes,Cars,98.55
United Kingdom,K02000001,2010,Thousands,Vehicles with 4 changes,Cars,24.08
United Kingdom,K02000001,2011,Thousands,Vehicles with 4 changes,Cars,18.2
United Kingdom,K02000001,2012,Thousands,Vehicles with 4 changes,Cars,23.96
United Kingdom,K02000001,2013,Thousands,Vehicles with 4 changes,Cars,12.04
United Kingdom,K02000001,2014,Thousands,Vehicles with 4 changes,Cars,10.5
United Kingdom,K02000001,2015,Thousands,Vehicles with 4 changes,Cars,14.7
United Kingdom,K02000001,2016,Thousands,Vehicles with 4 changes,Cars,15.35
United Kingdom,K02000001,2017,Thousands,Vehicles with 4 changes,Cars,15.88
United Kingdom,K02000001,2018,Thousands,Vehicles with 4 changes,Cars,16.74
United Kingdom,K02000001,2019,Thousands,Vehicles with 4 changes,Cars,19.03
United Kingdom,K02000001,2020,Thousands,Vehicles with 4 changes,Cars,19.7
United Kingdom,K02000001,2021,Thousands,Vehicles with 4 changes,Cars,21.53
United Kingdom,K02000001,2022,Thousands,Vehicles with 4 changes,Cars,20.85
United Kingdom,K02000001,2010,Thousands,Vehicles with over 4 changes,Cars,12.1
United Kingdom,K02000001,2011,Thousands,Vehicles with over 4 changes,Cars,8.3
United Kingdom,K02000001,2012,Thousands,Vehicles with over 4 changes,Cars,15.83
United Kingdom,K02000001,2013,Thousands,Vehicles with over 4 changes,Cars,2.35
United Kingdom,K02000001,2014,Thousands,Vehicles with over 4 changes,Cars,1.85
United Kingdom,K02000001,2015,Thousands,Vehicles with over 4 changes,Cars,2.81
United Kingdom,K02000001,2016,Thousands,Vehicles with over 4 changes,Cars,3.01
United Kingdom,K02000001,2017,Thousands,Vehicles with over 4 changes,Cars,3.42
United Kingdom,K02000001,2018,Thousands,Vehicles with over 4 changes,Cars,3.97
United Kingdom,K02000001,2019,Thousands,Vehicles with over 4 changes,Cars,5.11
United Kingdom,K02000001,2020,Thousands,Vehicles with over 4 changes,Cars,5.83
United Kingdom,K02000001,2021,Thousands,Vehicles with over 4 changes,Cars,6.61
United Kingdom,K02000001,2022,Thousands,Vehicles with over 4 changes,Cars,6.77
United Kingdom,K02000001,2010,Thousands,Total changes of keeper,HGVs,97.09
United Kingdom,K02000001,2011,Thousands,Total changes of keeper,HGVs,86.13
United Kingdom,K02000001,2012,Thousands,Total changes of keeper,HGVs,115.27
United Kingdom,K02000001,2013,Thousands,Total changes of keeper,HGVs,58.73
United Kingdom,K02000001,2014,Thousands,Total changes of keeper,HGVs,52.92
United Kingdom,K02000001,2015,Thousands,Total changes of keeper,HGVs,65.02
United Kingdom,K02000001,2016,Thousands,Total changes of keeper,HGVs,63.36
United Kingdom,K02000001,2017,Thousands,Total changes of keeper,HGVs,64.42
United Kingdom,K02000001,2018,Thousands,Total changes of keeper,HGVs,69.7
United Kingdom,K02000001,2019,Thousands,Total changes of keeper,HGVs,69.0
United Kingdom,K02000001,2020,Thousands,Total changes of keeper,HGVs,69.92
United Kingdom,K02000001,2021,Thousands,Total changes of keeper,HGVs,75.66
United Kingdom,K02000001,2022,Thousands,Total changes of keeper,HGVs,74.43
United Kingdom,K02000001,2010,Thousands,Vehicles with 0 changes,HGVs,530.29
United Kingdom,K02000001,2011,Thousands,Vehicles with 0 changes,HGVs,571.52
United Kingdom,K02000001,2012,Thousands,Vehicles with 0 changes,HGVs,532.8
United Kingdom,K02000001,2013,Thousands,Vehicles with 0 changes,HGVs,545.16
United Kingdom,K02000001,2014,Thousands,Vehicles with 0 changes,HGVs,551.16
United Kingdom,K02000001,2015,Thousands,Vehicles with 0 changes,HGVs,593.72
United Kingdom,K02000001,2016,Thousands,Vehicles with 0 changes,HGVs,622.86
United Kingdom,K02000001,2017,Thousands,Vehicles with 0 changes,HGVs,652.59
United Kingdom,K02000001,2018,Thousands,Vehicles with 0 changes,HGVs,670.33
United Kingdom,K02000001,2019,Thousands,Vehicles with 0 changes,HGVs,696.94
United Kingdom,K02000001,2020,Thousands,Vehicles with 0 changes,HGVs,703.8
United Kingdom,K02000001,2021,Thousands,Vehicles with 0 changes,HGVs,721.27
United Kingdom,K02000001,2022,Thousands,Vehicles with 0 changes,HGVs,747.07
United Kingdom,K02000001,2010,Thousands,Vehicles with 1 changes,HGVs,64.14
United Kingdom,K02000001,2011,Thousands,Vehicles with 1 changes,HGVs,61.71
United Kingdom,K02000001,2012,Thousands,Vehicles with 1 changes,HGVs,60.06
United Kingdom,K02000001,2013,Thousands,Vehicles with 1 changes,HGVs,49.35
United Kingdom,K02000001,2014,Thousands,Vehicles with 1 changes,HGVs,45.17
United Kingdom,K02000001,2015,Thousands,Vehicles with 1 changes,HGVs,55.36
United Kingdom,K02000001,2016,Thousands,Vehicles with 1 changes,HGVs,54.65
United Kingdom,K02000001,2017,Thousands,Vehicles with 1 changes,HGVs,55.2
United Kingdom,K02000001,2018,Thousands,Vehicles with 1 changes,HGVs,58.71
United Kingdom,K02000001,2019,Thousands,Vehicles with 1 changes,HGVs,58.74
United Kingdom,K02000001,2020,Thousands,Vehicles with 1 changes,HGVs,59.48
United Kingdom,K02000001,2021,Thousands,Vehicles with 1 changes,HGVs,62.32
United Kingdom,K02000001,2022,Thousands,Vehicles with 1 changes,HGVs,63.78
United Kingdom,K02000001,2010,Thousands,Vehicles with 2 changes,HGVs,9.5
United Kingdom,K02000001,2011,Thousands,Vehicles with 2 changes,HGVs,7.77
United Kingdom,K02000001,2012,Thousands,Vehicles with 2 changes,HGVs,6.41
United Kingdom,K02000001,2013,Thousands,Vehicles with 2 changes,HGVs,4.15
United Kingdom,K02000001,2014,Thousands,Vehicles with 2 changes,HGVs,3.53
United Kingdom,K02000001,2015,Thousands,Vehicles with 2 changes,HGVs,4.33
United Kingdom,K02000001,2016,Thousands,Vehicles with 2 changes,HGVs,3.9
United Kingdom,K02000001,2017,Thousands,Vehicles with 2 changes,HGVs,4.16
