Geography,Code,Date,Units,Metric,variable,value
United Kingdom,K02000001,2019,thousands,vehicles-with-4-changes,bus-n-coach,0.04
United Kingdom,K02000001,2020,thousands,vehicles-with-4-changes,bus-n-coach,0.03
United Kingdom,K02000001,2021,thousands,vehicles-with-4-changes,bus-n-coach,0.04
United Kingdom,K02000001,2022,thousands,vehicles-with-4-changes,bus-n-coach,0.04
United Kingdom,K02000001,2010,thousands,vehicles-with-over-4-changes,bus-n-coach,0.37
United Kingdom,K02000001,2011,thousands,vehicles-with-over-4-changes,bus-n-coach,0.23
United Kingdom,K02000001,2012,thousands,vehicles-with-over-4-changes,bus-n-coach,0.05
United Kingdom,K02000001,2013,thousands,vehicles-with-over-4-changes,bus-n-coach,0.02
United Kingdom,K02000001,2014,thousands,vehicles-with-over-4-changes,bus-n-coach,0.01
United Kingdom,K02000001,2015,thousands,vehicles-with-over-4-changes,bus-n-coach,0.0
United Kingdom,K02000001,2016,thousands,vehicles-with-over-4-changes,bus-n-coach,0.0
United Kingdom,K02000001,2017,thousands,vehicles-with-over-4-changes,bus-n-coach,0.01
United Kingdom,K02000001,2018,thousands,vehicles-with-over-4-changes,bus-n-coach,0.0
United Kingdom,K02000001,2019,thousands,vehicles-with-over-4-changes,bus-n-coach,0.0
United Kingdom,K02000001,2020,thousands,vehicles-with-over-4-changes,bus-n-coach,0.01
United Kingdom,K02000001,2021,thousands,vehicles-with-over-4-changes,bus-n-coach,0.01
United Kingdom,K02000001,2022,thousands,vehicles-with-over-4-changes,bus-n-coach,0.0
United Kingdom,K02000001,2010,thousands,total-changes-of-keeper,cars,7651.27
United Kingdom,K02000001,2011,thousands,total-changes-of-keeper,cars,7406.98
United Kingdom,K02000001,2012,thousands,total-changes-of-keeper,cars,7699.21
United Kingdom,K02000001,2013,thousands,total-changes-of-keeper,cars,7114.26
United Kingdom,K02000001,2014,thousands,total-changes-of-keeper,cars,6799.37
United Kingdom,K02000001,2015,thousands,total-changes-of-keeper,cars,7734.13
United Kingdom,K02000001,2016,thousands,total-changes-of-keeper,cars,7709.01
United Kingdom,K02000001,2017,thousands,total-changes-of-keeper,cars,7740.38
United Kingdom,K02000001,2018,thousands,total-changes-of-keeper,cars,7521.04
